Category,Subcategory,Name,Sources,AKA,Code Example,Causes / Effects,Frequency,Refactoring
Code related,Complex / Hard to understand,Optimizing DRY,1,,FALSE,TRUE,FALSE,TRUE
Dependencies,Dependencies among tests,Order Dependent Tests,3,"Chained Tests, Chain Gang",TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Over exertion assertion,1,,TRUE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Over refactoring of tests,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Over-Checking,3,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Over-eager Helper,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Over-specific runs on,3,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Overcommented Test,5,,TRUE,TRUE,TRUE,FALSE
Code related,Complex / Hard to understand,Overly Complex Tests,1,,FALSE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Overly Dry Tests,2,,FALSE,FALSE,TRUE,TRUE
Code related,In association with production code,Overly elaborate test code,1,,FALSE,FALSE,FALSE,FALSE
Code related,Mock and stub related,Overmocking,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Overreferencing,4,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Oversharing on setup,1,,TRUE,FALSE,FALSE,FALSE
Code related,In association with production code,Overspecification,1,,TRUE,TRUE,FALSE,TRUE
Code related,In association with production code,Overspecified Software,2,"Overcoupled Test, Overcoupled Test",FALSE,TRUE,TRUE,TRUE
Code related,In association with production code,Overspecified Tests,1,,TRUE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Overuse Mocking,1,,TRUE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Overuse of abstractions,1,it’s too DRY,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Paranoid,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Parsed Data,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many things,Piggybacking on existing tests,1,,FALSE,FALSE,FALSE,FALSE
Code related,In association with production code,Plate Spinning,1,,TRUE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Premature Assertions,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Primitive Assertion,1,,TRUE,TRUE,FALSE,FALSE
Test execution / behavior,Other test execution / behavior,Print Statement,5,,FALSE,FALSE,TRUE,FALSE
Code related,In association with production code,Production Logic in Test,1,,TRUE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Programming Paradigms Blend,2,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Proper Organization,3,,FALSE,TRUE,TRUE,FALSE
Test semantic/logic,Other test logic related,Quixotic,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Redundant Assertion,20,,TRUE,TRUE,TRUE,TRUE
Test execution / behavior,Other test execution / behavior,Redundant Print,17,Transcripting Test,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Refused Bequest,3,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Reinventing the Wheel,1,,FALSE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Remote Control Mocking,1,,TRUE,FALSE,FALSE,FALSE
Dependencies,External dependencies,Remote Mystery Guest,2,,TRUE,TRUE,FALSE,FALSE
Dependencies,External dependencies,Require External Resources,1,,TRUE,TRUE,FALSE,FALSE
Test execution / behavior,Other test execution / behavior,Requires Supervision,1,,FALSE,FALSE,FALSE,TRUE
Dependencies,External dependencies,Resource Leakage,3,,FALSE,TRUE,TRUE,TRUE
Dependencies,External dependencies,Resource Optimism,39,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Returning Assertion,3,,FALSE,TRUE,TRUE,FALSE
Test semantic/logic,Other test logic related,Rewriting private methods as public,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Rotten green test,5,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Scattered test fixtures,1,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Second Class Citizens,4,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Second guess the calculation,1,,TRUE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Self Important Test Data,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Self-Test,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Sensitive Equality,42,The Butterfly,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Sensitive Locators,2,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Separate Fixture Files,1,,TRUE,FALSE,FALSE,TRUE
Issues in test steps,Issues in setup,Share the world,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in teardown,Shared-state corruption,1,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Short template,3,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Shotgun Surgery,1,,FALSE,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Singular Component Variable/Constant/Timer Reference,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Singular Template Reference,3,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Skip Rotten Green Test,1,,TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Skip-Epidemic,1,,FALSE,FALSE,TRUE,FALSE
Test execution / behavior,Performance,Sleeping for arbitrary amount of time,1,,TRUE,FALSE,FALSE,TRUE
Test execution / behavior,Performance,Sleepy Test,22,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in teardown,Sloppy Worker,1,Wet Floor,FALSE,FALSE,TRUE,FALSE
Test execution / behavior,Performance,Slow Component Usage,1,,FALSE,TRUE,FALSE,TRUE
Test execution / behavior,Performance,Slow Running Tests,1,,FALSE,TRUE,FALSE,FALSE
Test execution / behavior,Performance,Slow Test,7,"Long Running Test, The Slow Poke",TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Sneaky Checking,3,,FALSE,TRUE,TRUE,TRUE
Design related,Not using test patterns,So the Automation Tool Wrote This Crap,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Testing many things,Split Logic,1,,TRUE,TRUE,FALSE,FALSE
Test semantic/logic,Testing many things,Split Personality,1,,TRUE,TRUE,FALSE,FALSE
Dependencies,External dependencies,Stinky Synchronization,3,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Stop in function,3,,TRUE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Subclass To Test,1,,FALSE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Success Against All Odds,4,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Superfluous Setup Data,1,,TRUE,FALSE,FALSE,FALSE
Code related,Mock and stub related,Surreal,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Taking environment state for granted,1,,FALSE,FALSE,FALSE,TRUE
Test semantic/logic,Other test logic related,Tangential,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in teardown,Teardown Only Test,3,,FALSE,TRUE,TRUE,FALSE
Code related,Violating coding best practices,Test body is somewhere else,1,,TRUE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Test By Number,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many things,Test cases are concerned with more than one unit of code,1,,FALSE,FALSE,FALSE,FALSE
Code related,Code duplication,Test Clones,2,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Test Code Duplication,21,"Second Class Citizen, Duplicated Code",TRUE,TRUE,TRUE,TRUE
Code related,In association with production code,Test Dependency in Production,1,,FALSE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many units,Test Envy,2,,FALSE,FALSE,TRUE,TRUE
Code related,In association with production code,Test Hook,2,,TRUE,TRUE,FALSE,TRUE
Code related,In association with production code,Test Logic in Production Code,4,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Test Maverick,5,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Test objects initialized in a describe block,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Test objects initialized in each test,1,,TRUE,TRUE,FALSE,FALSE
Dependencies,Dependencies among tests,Test Pollution,2,,FALSE,TRUE,FALSE,FALSE
Code related,Code duplication,Test Redundancy,4,,TRUE,TRUE,TRUE,FALSE
Dependencies,Dependencies among tests,Test Run War,14,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Test setup is somewhere else,1,,TRUE,FALSE,FALSE,FALSE
Code related,In association with production code,Test tautology,1,,TRUE,FALSE,FALSE,TRUE
Test semantic/logic,Testing many things,Test this then test this then…,1,,FALSE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Test-Class Name,3,,FALSE,TRUE,TRUE,FALSE
Code related,Violating coding best practices,Test-Method Category Name,2,,FALSE,FALSE,TRUE,FALSE
Test semantic/logic,Other test logic related,Test-per-Method,1,,FALSE,FALSE,FALSE,FALSE
Design related,Not using test patterns,Test::class Hierarchy,1,,TRUE,FALSE,FALSE,FALSE
Design related,Not using test patterns,Testing business rules through UI,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Testing for a specific bug,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Testing internal implementation,1,,FALSE,TRUE,FALSE,FALSE
Test semantic/logic,Other test logic related,Testing the Authentication Framework,1,,FALSE,TRUE,FALSE,FALSE
Code related,Mock and stub related,Testing the Framework,1,,FALSE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Testing The Internal Monologue,1,,TRUE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Tests Are Difficult to Write,1,,FALSE,TRUE,FALSE,FALSE
Code related,In association with production code,Tests cluttered with business logic,1,,FALSE,FALSE,FALSE,TRUE
Dependencies,External dependencies,Tests depend on something outside of the test suite,1,,FALSE,FALSE,FALSE,FALSE
Code related,In association with production code,Tests require too much intimate knowledge of the code to run,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Tests that Can't Fail,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Testy testy test test,1,,FALSE,FALSE,FALSE,FALSE
Test execution / behavior,Performance,The Bandwidth Demander,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,The Butterfly,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,The Conjoined Twins,2,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,The Cuckoo,4,"Inappropriately Shared Fixture, The Mother Hen, Stranger",FALSE,FALSE,TRUE,FALSE
Code related,Mock and stub related,The Dead Tree,2,Process Compliance Backdoor,TRUE,FALSE,TRUE,FALSE
Test semantic/logic,Other test logic related,The Dodger,3,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,The Enumerator,4,Test With No Name,FALSE,FALSE,TRUE,FALSE
Dependencies,Dependencies among tests,The Environmental Vandal,1,,FALSE,FALSE,FALSE,FALSE
Code related,Code duplication,The First and Last Rites,1,Oops I Forgot the Setup,TRUE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,The Flickering Test,2,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,The Forty Foot Pole Test,3,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Testing many things,The Free Ride,8,Piggyback,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many things,The Giant,8,,TRUE,FALSE,TRUE,FALSE
Issues in test steps,Issues in exception handling,The Greedy Catcher,4,,FALSE,FALSE,TRUE,FALSE
Dependencies,Dependencies among tests,The Inhuman Centipede,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,The Inspector,5,,FALSE,FALSE,TRUE,FALSE
Dependencies,Dependencies among tests,The Leaky Cauldron,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,The Liar,7,"Evergreen Tests, Success Against All Odds",TRUE,FALSE,TRUE,FALSE
Dependencies,External dependencies,The Local Hero,7,"Wait and See, Environmental Vandal",FALSE,FALSE,TRUE,FALSE
Test execution / behavior,Other test execution / behavior,The Loudmouth,4,Transcripting Test,FALSE,FALSE,TRUE,FALSE
Code related,Mock and stub related,The Mockery,4,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,The Mother Hen,2,,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in assertions,The Nitpicker,3,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Testing many things,The One,3,"Silver Bullet, The Test It All",FALSE,FALSE,TRUE,FALSE
Dependencies,External dependencies,The Operating System Evangelist,4,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in teardown,The painful clean-up,1,,FALSE,FALSE,FALSE,FALSE
Dependencies,Dependencies among tests,The Parasite,1,,FALSE,FALSE,FALSE,FALSE
Dependencies,Dependencies among tests,The Peeping Tom,3,The Uninvited Guest,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in exception handling,The Secret Catcher,5,The Silent Catcher,TRUE,FALSE,TRUE,FALSE
Test semantic/logic,Other test logic related,The Sequencer,4,,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in exception handling,The Silent Catcher,3,,TRUE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,The Sleeper,3,Mount Vesuvius,FALSE,FALSE,TRUE,FALSE
Test execution / behavior,Performance,The Slow Poke,6,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in teardown,The Soloist,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,The Stepford Fields,1,,TRUE,FALSE,FALSE,FALSE
Test semantic/logic,Testing many units,The Stranger,3,The Distant Relative,FALSE,FALSE,TRUE,FALSE
Code related,In association with production code,The telltale heart,1,,FALSE,FALSE,FALSE,FALSE
Test execution / behavior,Performance,The Temporal Tip Toe,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Testing many things,The Test It All,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,The Test With No Name,3,,FALSE,FALSE,TRUE,FALSE
Design related,Not using test patterns,The Turing Test,1,,FALSE,FALSE,FALSE,FALSE
Code related,In association with production code,The Ugly Mirror,5,Tautological tests,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,There is too much setup to run the test cases,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Time Bomb Data,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Time Bombs,2,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Time Sensitive Test,1,,TRUE,TRUE,FALSE,FALSE
Test execution / behavior,Performance,Too Many Tests,1,,FALSE,TRUE,FALSE,TRUE
Test execution / behavior,Other test execution / behavior,Transcripting Test,3,,TRUE,TRUE,TRUE,FALSE
Code related,Violating coding best practices,Treating test code as a second class citizen,2,,FALSE,TRUE,FALSE,FALSE
Code related,In association with production code,Trying to Test the Untestable,1,,TRUE,FALSE,FALSE,FALSE
Test execution / behavior,Other test execution / behavior,Trying to use UI automation to replace manual testing,1,,FALSE,TRUE,FALSE,TRUE
Code related,Code duplication,Two for the price of one,1,,TRUE,FALSE,FALSE,FALSE
Code related,In association with production code,UI tests should not expose interactions with web elements,1,,TRUE,FALSE,FALSE,TRUE
Design related,Not using test patterns,Unclassified Method Category,2,,FALSE,FALSE,TRUE,FALSE
Design related,Not using test patterns,Undefined Test,2,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Under-the-carpet Assertion,1,,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in assertions,Under-the-carpet Failing Assertion,4,,TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Underspecification,1,,TRUE,TRUE,FALSE,TRUE
Design related,Not using test patterns,Unknown Test,22,"Assertionless, Assertionless Test, Under-the-carpet Assertion, Under-the-carpet failing Assertion",TRUE,TRUE,TRUE,TRUE
Test execution / behavior,Other test execution / behavior,Unnecessary Navigation,1,,TRUE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Unnecessary stubs,1,,FALSE,TRUE,TRUE,FALSE
Code related,Violating coding best practices,Unreachable default,3,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in teardown,Unrepeatable Test,2,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Unrestricted imports,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Unsuitable Naming,1,,FALSE,FALSE,FALSE,TRUE
Test semantic/logic,Other test logic related,Untestable Test Code,1,,FALSE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Unused definition,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Unused imports,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Unused Inputs,2,,TRUE,TRUE,FALSE,FALSE
Code related,Violating coding best practices,Unused parameter,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Unused Shared-Fixture Variables,2,,FALSE,FALSE,TRUE,FALSE
Code related,Violating coding best practices,Unused variable definition,3,DU data flow anomaly,TRUE,TRUE,FALSE,TRUE
Dependencies,Dependencies among tests,Unusual Test Order,3,,FALSE,TRUE,TRUE,FALSE
Code related,Violating coding best practices,Unworldly test data,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Use Smart Values,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Using Assertions as a Substitute for all Class-Based Exceptions,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Using Assertions as a Substitute for all Defensive Programming Techniques,1,,FALSE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Using complicated data store,1,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Using complicated x-path or CSS selectors,1,,TRUE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Using Faker,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Using fixtures,1,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Using test case inheritance to test source code polymorphism,1,,TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Using the word “and” when describing a test,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Using the Wrong Assert,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Vague Header Setup,4,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Verbless and Noun-full,1,,FALSE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Verbose Test,12,"Complex Test, Long Test, Obscure Test",FALSE,TRUE,TRUE,FALSE
Issues in test steps,Issues in setup,Verifying in Setup Method,2,,FALSE,TRUE,TRUE,TRUE
Code related,Code duplication,Very similar test cases,1,,FALSE,TRUE,FALSE,TRUE
Test execution / behavior,Performance,Wait and See,2,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Wasted variable definition,3,"DD data flow anomaly, DD data flow anomaly",TRUE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Web-Browsing Test,1,,FALSE,FALSE,TRUE,FALSE
Code related,In association with production code,"Well, My Setup Works",1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in teardown,Wet Floor,3,"Sloppy worker, Generous leftovers",FALSE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,What are we Testing?,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Wheel of fortune,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,Where Does This One Go?,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,X-Ray Specs,2,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,You Do Weird Things to Get at the Code Under Test,1,,FALSE,TRUE,FALSE,FALSE
